feature,importance,cumulative_importance
alcohol,0.14657100557369573,0.14657100557369573
volatile acidity,0.10490813013438245,0.25147913570807817
density,0.10455837533659046,0.35603751104466863
total sulfur dioxide,0.08776635519470456,0.4438038662393732
free sulfur dioxide,0.08726514749476412,0.5310690137341373
chlorides,0.08326953944564768,0.6143385531797849
sulphates,0.08298072399517661,0.6973192771749616
pH,0.07587929996843236,0.7731985771433939
residual sugar,0.07557331707628794,0.8487718942196818
citric acid,0.0749216573504665,0.9236935515701483
fixed acidity,0.07131715934573257,0.9950107109158809
wine_type,0.0049892890841191015,1.0
